index,period,attendances
339,2017-03-01,1947
340,2017-03-01,11417
341,2017-03-01,965
342,2017-03-01,4350
343,2017-03-01,2686
344,2017-03-01,2311
345,2017-03-01,3167
346,2017-03-01,1509
347,2017-03-01,3963
348,2017-02-01,17917
349,2017-02-01,616
350,2017-02-01,2673
351,2017-02-01,25955
352,2017-02-01,651
353,2017-02-01,9882
354,2017-02-01,3768
355,2017-02-01,17023
356,2017-02-01,14482
357,2017-02-01,6680
358,2017-02-01,5761
359,2017-02-01,3202
360,2017-02-01,1016
361,2017-02-01,2261
362,2017-02-01,10654
363,2017-02-01,484
364,2017-02-01,10683
365,2017-02-01,700
366,2017-02-01,2634
367,2017-02-01,3459
368,2017-02-01,8790
369,2017-02-01,4088
370,2017-02-01,8452
371,2017-02-01,3672
372,2017-02-01,9528
373,2017-02-01,15070
374,2017-02-01,1880
375,2017-02-01,4192
376,2017-02-01,7677
377,2017-02-01,915
378,2017-02-01,16054
379,2017-02-01,5012
380,2017-02-01,10644
381,2017-02-01,14585
382,2017-02-01,7527
383,2017-02-01,4539
384,2017-02-01,13091
385,2017-02-01,757
386,2017-02-01,425
387,2017-02-01,545
388,2017-02-01,16388
389,2017-02-01,2831
390,2017-02-01,1797
391,2017-02-01,11454
392,2017-02-01,1065
393,2017-02-01,2297
394,2017-02-01,5179
395,2017-02-01,7199
396,2017-02-01,2815
397,2017-02-01,3141
398,2017-02-01,7431
399,2017-02-01,10584
400,2017-02-01,8613
401,2017-02-01,2295
402,2017-02-01,5061
403,2017-02-01,2176
404,2017-02-01,10152
405,2017-02-01,5530
406,2017-02-01,2983
407,2017-02-01,4586
408,2017-02-01,4493
409,2017-02-01,3670
410,2017-02-01,8094
411,2017-02-01,2961
412,2017-02-01,5840
413,2017-02-01,1965
414,2017-02-01,6371
415,2017-02-01,4320
416,2017-02-01,5635
417,2017-02-01,9800
418,2017-02-01,3725
419,2017-02-01,4114
420,2017-02-01,1648
421,2017-02-01,8079
422,2017-02-01,3890
423,2017-02-01,44
424,2017-02-01,493
425,2017-02-01,5658
426,2017-02-01,1847
427,2017-02-01,1723
428,2017-02-01,16808
429,2017-02-01,3062
430,2017-02-01,794
431,2017-02-01,3353
432,2017-02-01,6478
433,2017-02-01,373
434,2017-02-01,5269
435,2017-02-01,90
436,2017-02-01,6587
437,2017-02-01,331
438,2017-02-01,12123
439,2017-02-01,3345
440,2017-02-01,7677
441,2017-02-01,3285
442,2017-02-01,261
443,2017-02-01,551
444,2017-02-01,500
445,2017-02-01,6980
446,2017-02-01,264
447,2017-02-01,6430
448,2017-02-01,4121
449,2017-02-01,3543
450,2017-02-01,8464
451,2017-02-01,764
452,2017-02-01,6853
453,2017-02-01,673
454,2017-02-01,7796
455,2017-02-01,921
456,2017-02-01,5082
457,2017-02-01,4548
458,2017-02-01,13183
459,2017-02-01,1413
460,2017-02-01,171
461,2017-02-01,2676
462,2017-02-01,220
463,2017-02-01,250
464,2017-02-01,2098
465,2017-02-01,12951
466,2017-02-01,1713
467,2017-02-01,2520
468,2017-02-01,7642
469,2017-02-01,3498
470,2017-02-01,8779
471,2017-02-01,1525
472,2017-02-01,345
473,2017-02-01,1585
474,2017-02-01,5005
475,2017-02-01,4651
476,2017-02-01,545
477,2017-02-01,7328
478,2017-02-01,1878
479,2017-02-01,3314
480,2017-02-01,7769
481,2017-02-01,6072
482,2017-02-01,7459
483,2017-02-01,4553
484,2017-02-01,9797
485,2017-02-01,8131
486,2017-02-01,11196
487,2017-02-01,8753
488,2017-02-01,10339
489,2017-02-01,1843
490,2017-02-01,1835
491,2017-02-01,10612
492,2017-02-01,1606
493,2017-02-01,5349
494,2017-02-01,12948
495,2017-02-01,377
496,2017-02-01,4003
497,2017-02-01,5593
498,2017-02-01,3227
499,2017-02-01,3578
500,2017-02-01,7178
501,2017-02-01,3218
502,2017-02-01,5050
503,2017-02-01,8647
504,2017-02-01,4741
505,2017-02-01,3908
506,2017-02-01,2698
507,2017-02-01,6217
508,2017-02-01,6378
509,2017-02-01,4577
510,2017-02-01,4536
511,2017-02-01,6281
512,2017-02-01,6229
513,2017-02-01,8534
514,2017-02-01,7749
515,2017-02-01,924
516,2017-02-01,9969
517,2017-02-01,1299
518,2017-02-01,6887
519,2017-02-01,11252
520,2017-02-01,11747
521,2017-02-01,3268
522,2017-02-01,8855
523,2017-02-01,7168
524,2017-02-01,2117
525,2017-02-01,2368
526,2017-02-01,5275
527,2017-02-01,576
528,2017-02-01,9468
529,2017-02-01,9653
530,2017-02-01,1526
531,2017-02-01,9793
532,2017-02-01,2268
533,2017-02-01,3436
534,2017-02-01,173
535,2017-02-01,7824
536,2017-02-01,5405
537,2017-02-01,84
538,2017-02-01,6572
539,2017-02-01,2130
540,2017-02-01,3290
541,2017-02-01,724
542,2017-02-01,9827
543,2017-02-01,1061
544,2017-02-01,1247
545,2017-02-01,5084
546,2017-02-01,5446
547,2017-02-01,1971
548,2017-02-01,15978
549,2017-02-01,1678
550,2017-02-01,3693
551,2017-02-01,2172
552,2017-02-01,985
